id,image_id,total_shapes
0,0,11
1,2,11
2,3,11
3,4,11
4,5,13
5,6,13
6,7,13
7,8,13
8,11,15
9,15,17
10,17,17
11,18,17
12,19,17
13,21,19
14,23,19
15,24,19
16,25,21
17,26,21
18,27,21
19,28,21
20,29,21
21,30,23
22,31,23
23,32,23
24,33,23
25,36,25
26,37,25
27,38,25
28,41,28
29,44,28
30,46,32
31,48,32
32,50,36
33,51,36
34,52,36
35,53,36
36,54,36
37,55,40
38,56,40
39,57,40
40,59,40
41,60,44
42,61,44
43,62,44
44,65,48
45,66,48
46,67,48
47,68,48
48,69,48
49,70,52
50,72,52
51,73,52
52,74,52
53,77,56
54,79,56
55,80,60
56,85,11
57,86,11
58,88,11
59,89,11
60,94,13
61,95,15
62,96,15
63,98,15
64,99,15
65,101,17
66,102,17
67,103,17
68,104,17
69,105,19
70,106,19
71,108,19
72,109,19
73,111,21
74,113,21
75,114,21
76,117,23
77,119,23
78,120,25
79,121,25
80,122,25
81,123,25
82,126,28
83,127,28
84,128,28
85,129,28
86,130,32
87,131,32
88,133,32
89,135,36
90,138,36
91,139,36
92,140,40
93,141,40
94,142,40
95,147,44
96,148,44
97,150,48
98,154,48
99,155,52
100,157,52
101,159,52
102,160,56
103,161,56
104,162,55
105,164,56
106,167,59
107,168,59
108,169,59
109,170,11
110,171,11
111,172,11
112,173,11
113,175,13
114,176,13
115,178,13
116,179,13
117,180,15
118,181,15
119,182,15
120,183,15
121,184,15
122,185,17
123,187,17
124,191,19
125,193,19
126,194,19
127,195,21
128,196,21
129,197,21
130,198,21
131,200,23
132,201,23
133,202,23
134,203,23
135,204,23
136,207,25
137,208,25
138,209,25
139,210,28
140,212,28
141,213,28
142,214,28
143,216,32
144,217,32
145,219,32
146,220,36
147,221,36
148,222,36
149,223,36
150,224,36
151,225,40
152,226,40
153,227,40
154,229,40
155,230,44
156,231,44
157,232,44
158,234,44
159,235,48
160,236,48
161,237,48
162,238,48
163,240,52
164,241,52
165,243,52
166,245,56
167,247,56
168,249,56
169,250,57
170,251,59
171,252,58
172,253,57
173,254,59
174,256,12
175,257,12
176,261,12
177,265,12
178,266,12
179,267,12
180,269,12
181,270,12
182,271,12
183,273,12
184,274,12
185,276,12
186,277,12
187,278,12
188,279,12
189,280,12
190,282,12
191,283,12
192,284,12
193,285,12
194,286,12
195,287,12
196,288,12
197,289,12
198,291,16
199,293,16
200,294,16
201,295,16
202,296,16
203,300,16
204,302,16
205,303,16
206,304,16
207,305,16
208,306,16
209,307,16
210,308,16
211,311,16
212,314,16
213,315,16
214,317,16
215,319,16
216,320,16
217,321,16
218,322,16
219,323,16
220,324,16
221,327,20
222,328,20
223,329,20
224,332,20
225,333,20
226,334,20
227,335,20
228,336,20
229,337,20
230,338,20
231,339,20
232,341,20
233,342,20
234,343,20
235,346,20
236,347,20
237,349,20
238,350,20
239,353,20
240,354,20
241,355,20
242,356,20
243,358,20
244,359,20
245,360,24
246,361,24
247,362,24
248,363,24
249,364,24
250,369,24
251,370,24
252,372,24
253,373,24
254,375,24
255,376,24
256,377,24
257,379,24
258,380,24
259,384,24
260,385,24
261,387,24
262,388,24
263,390,24
264,392,24
265,393,24
266,396,28
267,397,28
268,398,28
269,399,28
270,401,28
271,405,28
272,406,28
273,407,28
274,408,28
275,409,28
276,410,28
277,413,28
278,414,28
279,415,28
280,416,28
281,419,28
282,420,28
283,422,28
284,423,28
285,424,28
286,425,28
287,427,28
288,430,32
289,431,32
290,432,32
291,433,32
292,435,32
293,436,32
294,437,32
295,438,32
296,440,32
297,441,32
298,443,32
299,444,32
300,445,32
301,446,32
302,447,32
303,450,32
304,451,32
305,452,32
306,455,32
307,456,32
308,457,32
309,460,32
310,461,32
311,462,32
312,463,32
313,464,32
314,465,38
315,466,38
316,467,38
317,468,38
318,469,38
319,470,38
320,472,38
321,473,38
322,474,38
323,475,38
324,476,38
325,477,38
326,478,38
327,479,38
328,480,38
329,482,38
330,485,38
331,486,38
332,487,38
333,488,38
334,489,38
335,490,38
336,492,38
337,493,38
338,494,38
339,496,38
340,499,38
341,500,44
342,501,44
343,502,44
344,504,44
345,505,44
346,507,44
347,509,44
348,510,44
349,515,44
350,517,44
351,519,44
352,520,44
353,522,44
354,523,44
355,525,44
356,526,44
357,527,44
358,528,44
359,529,44
360,530,44
361,531,44
362,532,44
363,533,44
364,535,12
365,537,12
366,538,12
367,540,12
368,542,12
369,543,12
370,545,12
371,546,12
372,547,12
373,549,12
374,551,12
375,552,12
376,555,12
377,556,12
378,557,12
379,558,12
380,559,12
381,560,12
382,561,12
383,563,12
384,565,12
385,566,12
386,567,12
387,570,16
388,572,16
389,573,16
390,574,16
391,575,16
392,576,16
393,577,16
394,578,16
395,579,16
396,581,16
397,582,16
398,583,16
399,584,16
400,585,16
401,587,16
402,590,16
403,591,16
404,592,16
405,593,16
406,595,16
407,596,16
408,597,16
409,599,16
410,600,16
411,601,16
412,603,16
413,604,16
414,605,20
415,607,20
416,608,20
417,609,20
418,611,20
419,612,20
420,614,20
421,615,20
422,616,20
423,617,20
424,618,20
425,619,20
426,620,20
427,621,20
428,623,20
429,624,20
430,627,20
431,628,20
432,630,20
433,631,20
434,633,20
435,635,20
436,636,20
437,637,20
438,639,20
439,640,24
440,642,24
441,645,24
442,646,24
443,647,24
444,648,24
445,649,24
446,651,24
447,653,24
448,654,24
449,655,24
450,656,24
451,657,24
452,659,24
453,660,24
454,661,24
455,662,24
456,663,24
457,664,24
458,666,24
459,668,24
460,672,24
461,675,28
462,676,28
463,677,28
464,678,28
465,679,28
466,680,28
467,681,28
468,683,28
469,685,28
470,688,28
471,689,28
472,690,28
473,691,28
474,693,28
475,696,28
476,697,28
477,698,28
478,699,28
479,701,28
480,702,28
481,703,28
482,705,28
483,706,28
484,709,28
485,710,32
486,712,32
487,715,32
488,718,32
489,719,32
490,720,32
491,721,32
492,722,32
493,723,32
494,725,32
495,728,32
496,729,32
497,730,32
498,732,32
499,733,32
500,734,32
501,736,32
502,738,32
503,739,32
504,740,32
505,741,32
506,742,32
507,744,32
508,746,38
509,747,38
510,750,38
511,751,38
512,752,38
513,753,38
514,755,38
515,756,38
516,757,38
517,758,38
518,760,38
519,763,38
520,764,38
521,765,38
522,766,38
523,767,38
524,769,38
525,770,38
526,771,38
527,773,38
528,775,38
529,776,38
530,777,38
531,780,44
532,781,44
533,782,44
534,783,44
535,784,44
536,785,44
537,786,44
538,787,44
539,788,44
540,789,44
541,790,44
542,791,44
543,793,44
544,794,44
545,795,44
546,796,44
547,797,44
548,798,44
549,799,44
550,800,44
551,801,44
552,802,44
553,803,44
554,804,44
555,805,44
556,806,44
557,808,44
558,809,44
559,814,44
560,815,12
561,816,12
562,820,12
563,822,12
564,823,12
565,824,12
566,825,12
567,826,12
568,827,12
569,829,12
570,830,12
571,831,12
572,832,12
573,833,12
574,834,12
575,836,12
576,837,12
577,838,12
578,839,12
579,840,12
580,841,12
581,842,12
582,843,12
583,845,12
584,846,12
585,848,12
586,849,12
587,852,16
588,853,16
589,854,16
590,855,16
591,856,16
592,857,16
593,858,16
594,860,16
595,861,16
596,863,16
597,864,16
598,866,16
599,867,16
600,869,16
601,870,16
602,872,16
603,874,16
604,875,16
605,876,16
606,877,16
607,878,16
608,880,16
609,881,16
610,883,16
611,884,16
612,885,20
613,886,20
614,887,20
615,889,20
616,890,20
617,891,20
618,892,20
619,893,20
620,894,20
621,895,20
622,896,20
623,899,20
624,902,20
625,903,20
626,904,20
627,905,20
628,906,20
629,907,20
630,909,20
631,910,20
632,911,20
633,913,20
634,916,20
635,917,20
636,918,20
637,919,20
638,920,24
639,921,24
640,922,24
641,923,24
642,924,24
643,927,24
644,929,24
645,930,24
646,931,24
647,932,24
648,934,24
649,935,24
650,936,24
651,937,24
652,938,24
653,939,24
654,940,24
655,942,24
656,943,24
657,944,24
658,945,24
659,946,24
660,947,24
661,948,24
662,949,24
663,950,24
664,951,24
665,953,24
666,954,24
667,955,28
668,958,28
669,959,28
670,960,28
671,961,28
672,963,28
673,964,28
674,965,28
675,966,28
676,967,28
677,968,28
678,969,28
679,970,28
680,971,28
681,972,28
682,973,28
683,974,28
684,975,28
685,976,28
686,977,28
687,983,28
688,984,28
689,985,28
690,986,28
691,988,28
692,989,28
693,990,32
694,991,32
695,992,32
696,994,32
697,995,32
698,998,32
699,999,32
700,1000,32
701,1001,32
702,1002,32
703,1008,32
704,1010,32
705,1011,32
706,1012,32
707,1014,32
708,1015,32
709,1016,32
710,1017,32
711,1018,32
712,1020,32
713,1021,32
714,1023,32
715,1024,32
716,1025,38
717,1026,38
718,1029,38
719,1032,38
720,1033,38
721,1034,38
722,1037,38
723,1039,38
724,1040,38
725,1042,38
726,1044,38
727,1045,38
728,1046,38
729,1048,38
730,1049,38
731,1050,38
732,1052,38
733,1053,38
734,1054,38
735,1055,38
736,1056,38
737,1057,38
738,1058,38
739,1061,44
740,1063,44
741,1064,44
742,1065,44
743,1066,44
744,1070,44
745,1071,44
746,1072,44
747,1073,44
748,1074,44
749,1075,44
750,1076,44
751,1077,44
752,1078,44
753,1080,44
754,1081,44
755,1082,44
756,1083,44
757,1084,44
758,1086,44
759,1087,44
760,1088,44
761,1089,44
762,1091,44
763,1093,44
764,1096,15
765,1098,15
766,1099,15
767,1100,15
768,1101,15
769,1102,15
770,1105,15
771,1107,15
772,1108,15
773,1109,15
774,1111,15
775,1112,15
776,1114,15
777,1117,15
778,1119,15
779,1121,15
780,1123,15
781,1124,15
782,1125,15
783,1126,15
784,1127,15
785,1128,15
786,1129,15
787,1131,15
788,1132,15
789,1134,15
790,1136,15
791,1138,15
792,1139,15
793,1140,15
794,1141,15
795,1142,15
796,1144,15
797,1145,15
798,1146,15
799,1147,15
800,1148,15
801,1149,15
802,1151,15
803,1152,15
804,1155,18
805,1156,18
806,1157,18
